,Low,Medium,High,Very High
0,0.030971987218624326,0.19222301994405785,0.38972876615767593,0.6424946030992766
1,0.052950727887925736,0.20892020535604008,0.38709407663920153,0.609869875327207
2,0.07379967920307023,0.2227355975981004,0.3872689898010341,0.5855910094036663
3,0.0925514085226958,0.23470748459877072,0.38904318345496125,0.5681544655080427
4,0.10880807248153611,0.2453581921162895,0.3915624419424339,0.5554428704593
5,0.12306521838545553,0.25244362984552116,0.3921819511383141,0.5427292015088844
6,0.13364724082235574,0.2568762390965908,0.39181755096423776,0.5324528671793626
7,0.14362141613548934,0.25961969401588797,0.3920578363904603,0.523992423896627
8,0.15263108823882834,0.26240550664888196,0.38984559850192846,0.5170168898241508
9,0.15913959752591028,0.2625122365866059,0.3854992549335915,0.5080920367449271
10,0.1628036923851892,0.2594139283175855,0.3788531237941584,0.4971303957280478
11,0.1675064447959012,0.2580100176480454,0.3748986736565401,0.48901034059048565
12,0.1727184256301305,0.25885669991330856,0.3735811167666628,0.48221277737271345
13,0.17639131739609482,0.2599411149799942,0.36913690918208025,0.4768543987268133
14,0.1807449697064633,0.25836041458081843,0.36513238504510753,0.4712917185035046
15,0.1838271296409138,0.25934141852421105,0.36077055071158415,0.4662135469842811
16,0.1878618533845473,0.25958256239083155,0.3579169157099469,0.46014436951457605
17,0.1911800787443022,0.258293826959253,0.35489762545983905,0.4514027084578263
18,0.19363196329265114,0.2607440861410849,0.34978235532403934,0.4450950172852274
19,0.19857569856382462,0.26235306876309267,0.34952134857683675,0.43993334368610326
