,Low,Medium,High,Very High
0,0.03689529955045567,0.20159028079231042,0.40046984958316467,0.6626085919094931
1,0.06844955917269537,0.22882415103226947,0.409358963803595,0.6369872742419672
2,0.09484799997548893,0.24783573747439125,0.41490626081960835,0.6171055765720628
3,0.11781469383182633,0.26324199370353757,0.4199672644576431,0.6024698982487441
4,0.13725825917740664,0.2766374640794802,0.4251989498087229,0.591595654647135
5,0.15421706731489865,0.28550901787751826,0.42779958134126883,0.5802626675153845
6,0.16662972713581836,0.29124894598440093,0.4288535157651817,0.5713516579471155
7,0.17825518817864394,0.2951605951567146,0.4303304794469215,0.5639352693508958
8,0.18878180157305155,0.2991172315847188,0.4290729966566298,0.5579447526869129
9,0.1963450890638218,0.3000754021900099,0.42573405945463816,0.5498862108596525
10,0.200898421860695,0.2972967527599869,0.41975380836583226,0.5400704052317267
11,0.20637033236046748,0.2961221885857009,0.4165440606935274,0.532859918483244
12,0.21267139031034732,0.29769945367925893,0.4159374982693505,0.5267713759711955
13,0.21699975163791546,0.2999921690530844,0.41238639219371825,0.5221740314599149
14,0.22241114230767195,0.2992214856598355,0.40932653048246687,0.5172117802245052
15,0.22627404989223926,0.30132827272464785,0.40602068995768625,0.5125279871354136
16,0.23123163467459457,0.3024176476867302,0.40429631432279467,0.5068553665737837
17,0.23591745055633506,0.30196557415224495,0.4025846460944358,0.4985776302149016
18,0.23966413043981405,0.30578752211294613,0.39852846075231974,0.4935004075011932
19,0.2462434413000718,0.30884272666385,0.39985818418627966,0.4894702819120742
