,Low,Medium,High,Very High
0,0.022144670532458156,0.15924301544975242,0.3661811293892902,0.6521539570220978
1,0.05171004688301622,0.19166061462948078,0.3743990782397393,0.6183412028459385
2,0.0778926731696791,0.2151394066917002,0.3792673867369763,0.5930515637349857
3,0.10048633689518154,0.23202021401625983,0.3839848782400642,0.5754166108795757
4,0.11920380233923766,0.24470120232972326,0.3880717289121643,0.5627477396091912
5,0.13491503335564198,0.2522248432203526,0.3898202190469238,0.549906195907423
6,0.14566830695137975,0.2565043265722359,0.38953819521217226,0.5384823555827708
7,0.15466363667619373,0.2596643685515393,0.3894078472641967,0.5291969051288508
8,0.16238011125716706,0.26293475773350355,0.387015143347225,0.5209763941109139
9,0.1678483387323163,0.2630672878796153,0.3815446268906661,0.5110995495273941
10,0.16988557064294488,0.2591492207381964,0.37502891800666605,0.4985863468568833
11,0.173630258410759,0.255885350870774,0.3713497267331567,0.48979633341323586
12,0.17747692581068772,0.2566409574240327,0.3692014393525404,0.48307959054899
13,0.18020122257247978,0.25696027245497194,0.3669356877576714,0.4764135279692837
14,0.18410511545873554,0.2546885074767067,0.3630712469023652,0.4705031911860997
15,0.18684770592898436,0.25500965732752745,0.3588040874032379,0.46469730763402756
16,0.189906301508677,0.25507076134427864,0.35521830484943034,0.45835416583887223
17,0.19191215683549828,0.25358292794267046,0.3519088258257705,0.44926760272798993
18,0.19349450387156494,0.25598397724935035,0.3468897435138048,0.4430743004641975
19,0.1978860784205434,0.2577269159828673,0.34744504161531525,0.43741309162758185
